index  confidence   rules
 1     1.000        [4]=>[2]
 2     1.000        [5]=>[1]
 3     1.000        [5]=>[2]
 4     1.000        [1, 5]=>[2]
 5     1.000        [2, 5]=>[1]
 6     1.000        [5]=>[1, 2]
 7     0.667        [3]=>[2]
 8     0.667        [1]=>[2]
 9     0.667        [1]=>[3]
 10    0.667        [3]=>[1]
 11    0.571        [2]=>[3]
 12    0.571        [2]=>[1]
 13    0.500        [1, 2]=>[5]
 14    0.500        [1, 2]=>[3]
 15    0.500        [1, 3]=>[2]
 16    0.500        [2, 3]=>[1]
